"","publication","publisher","date"
"1845","Thetford & Brandon Times","Newsquest Media Group",2022-11-07
"1846","thetfordandbrandontimes.co.uk","Newsquest Media Group",2022-11-07
"1847","thetimes.co.uk","News UK",2022-11-07
"1848","thetottenhamindependent.co.uk","Newsquest Media Group",2022-11-07
"1849","thevisitor.co.uk","National World Publishing Ltd",2022-11-07
"1850","thewestmorlandgazette.co.uk","Newsquest Media Group",2022-11-07
"1851","thewestonmercury.co.uk","Newsquest Media Group",2022-11-07
"1852","Third Sector","Haymarket Media Group",2022-11-07
"1853","thirdsector.co.uk","Haymarket Media Group",2022-11-07
"1854","This England","DC Thomson Group",2022-11-07
"1855","thisengland.co.uk","DC Thomson Group",2022-11-07
"1856","thisisanfield.com","Soccer Publishing Ltd",2022-11-07
"1857","thisislocallondon.co.uk","Newsquest Media Group",2022-11-07
"1858","thisismoney.co.uk","Associated Newspapers Limited",2022-11-07
"1859","thisisoxfordshire.co.uk","Newsquest Media Group",2022-11-07
"1860","thisiswiltshire.co.uk","Newsquest Media Group",2022-11-07
"1861","Thorne and District Gazette","National World Publishing Ltd",2022-11-07
"1862","thornegazette.co.uk","National World Publishing Ltd",2022-11-07
"1863","Thurrock Gazette","Newsquest Media Group",2022-11-07
"1864","thurrock.nub.news","Nub News Ltd",2022-11-07
"1865","thurrockgazette.co.uk","Newsquest Media Group",2022-11-07
"1866","Times & Star","Newsquest Media Group",2022-11-07
"1867","timesandstar.co.uk","Newsquest Media Group",2022-11-07
"1868","times-series.co.uk","Newsquest Media Group",2022-11-07
"1869","Tivy-Side Advertiser","Newsquest Media Group",2022-11-07
"1870","tivysideadvertiser.co.uk","Newsquest Media Group",2022-11-07
"1871","tmxnews.co.uk","National World Publishing Ltd",2022-11-07
"1872","Today's Golfer","H. Bauer Publishing",2022-11-07
"1873","Today's Quilter","Immediate Media Company Limited",2022-11-07
"1874","todaysgolfer.co.uk","H. Bauer Publishing",2022-11-07
"1875","Todmorden News","National World Publishing Ltd",2022-11-07
"1876","todmordennews.co.uk","National World Publishing Ltd",2022-11-07
"1877","Top Crochet Patterns","DC Thomson Group",2022-11-07
"1878","toptenreviews.com","Future PLC",2022-11-07
"1879","Total 911","Future PLC",2022-11-07
"1880","Total Film","Future PLC",2022-11-07
"1881","Total Guitar","Future PLC",2022-11-07
"1882","Total TV Guide","H. Bauer Publishing",2022-11-07
"1883","Totnes Times","Tindle Newspapers Limited",2022-11-07
"1884","totnes-today.co.uk","Tindle Newspapers Limited",2022-11-07
"1885","Tottenham & Wood Green Independent","Newsquest Media Group",2022-11-07
"1886","Tour de France Guide","Immediate Media Company Limited",2022-11-07
"1887","Trail","H. Bauer Publishing",2022-11-07
"1888","Trail Running","H. Bauer Publishing",2022-11-07
"1889","trailrunningmag.co.uk","H. Bauer Publishing",2022-11-07
"1890","TransportXtra.com","Landor LINKS Ltd",2022-11-07
"1891","Travellers Times","Rural Media",2022-11-07
"1892","travellerstimes.org.uk","Rural Media",2022-11-07
"1893","Travelux","Paragraph Publishing Ltd",2022-11-07
"1894","traveluxmag.com","Paragraph Publishing Ltd",2022-11-07
"1895","Trials & Motocross News","National World Publishing Ltd",2022-11-07
"1896","tringtoday.co.uk","National World Publishing Ltd",2022-11-07
"1897","Trout & Salmon","H. Bauer Publishing",2022-11-07
"1898","troutandsalmon.com","H. Bauer Publishing",2022-11-07
"1899","Truro Voice","Tindle Newspapers Limited",2022-11-07
"1900","Turriff Advertiser","Highland News & Media Limited",2022-11-07
"1901","TV & Satellite Week","Future PLC",2022-11-07
"1902","TV Choice","H. Bauer Publishing",2022-11-07
"1903","TV Times","Future PLC",2022-11-07
"1904","TVB Europe","Future PLC",2022-11-07
"1905","tvbeurope.com","Future PLC",2022-11-07
"1906","Tyne Valley Living","Newsquest Media Group",2022-11-07
"1907","Tyrone Times","National World Publishing Ltd",2022-11-07
"1908","UK Club Golfer","DC Thomson Group",2022-11-07
"1909","ukclubgolfer.co.uk","DC Thomson Group",2022-11-07
"1910","Ulster Business","MEDIAHUIS UK",2022-11-07
"1911","Ulster Grocer","MEDIAHUIS UK",2022-11-07
"1912","Ulster Star","National World Publishing Ltd",2022-11-07
"1913","Ultimate","Immediate Media Company Limited",2022-11-07
"1914","Unicorn Universe","DC Thomson Group",2022-11-07
"1915","Urology News","Pinpoint Scotland Ltd",2022-11-07
"1916","urologynews.uk.com","Pinpoint Scotland Ltd",2022-11-07
"1917","Utility Week Magazine","Faversham House Ltd",2022-11-07
"1918","utilityweek.co.uk","Faversham House Ltd",2022-11-07
"1919","Uxbridge Gazette","Reach PLC",2022-11-07
"1920","Vanity Fair","Condé Nast Publications Ltd",2022-11-07
"1921","VBJ","Veterinary Business Development Ltd",2022-11-07
"1922","Velvet","Iliffe Media Group Ltd",2022-11-07
"1923","velvetmag.co.uk","Iliffe Media Group Ltd",2022-11-07
"1924","Vertex","Future PLC",2022-11-07
"1925","Vet Times","Veterinary Business Development Ltd",2022-11-07
"1926","vettimes.co.uk","Veterinary Business Development Ltd",2022-11-07
"1927","VN Times","Veterinary Business Development Ltd",2022-11-07
"1928","Vogue","Condé Nast Publications Ltd",2022-11-07
"1929","voguebusiness.com","Conde Nast Holdings Ltd",2022-11-07
"1930","Wakefield Express","National World Publishing Ltd",2022-11-07
"1931","wakefieldexpress.co.uk","National World Publishing Ltd",2022-11-07
"1932","Wales Farmer","Newsquest Media Group",2022-11-07
"1933","Wales on Sunday","Reach PLC",2022-11-07
"1934","walesfarmer.co.uk","Newsquest Media Group",2022-11-07
"1935","walesonline.co.uk","Reach PLC",2022-11-07
"1936","Wallpaper","Future PLC",2022-11-07
"1937","wallpaper.com","Future PLC",2022-11-07
"1938","Walsall Chronicle Week","MNA",2022-11-07
"1939","Waltham Forest Guardian","Newsquest Media Group",2022-11-07
"1940","Wandsworth Times","Newsquest Media Group",2022-11-07
"1941","wandsworthtimes.co.uk","Newsquest Media Group",2022-11-07
"1942","Wanstead & Woodford Guardian","Newsquest Media Group",2022-11-07
"1943","Warrington Guardian","Newsquest Media Group",2022-11-07
"1944","warringtonguardian.co.uk","Newsquest Media Group",2022-11-07
"1945","warwick.nub.news","Nub News Ltd",2022-11-07
"1946","warwickcourier.co.uk","National World Publishing Ltd",2022-11-07
"1947","Washington Star","National World Publishing Ltd",2022-11-07
"1948","Watford Observer","Newsquest Media Group",2022-11-07
"1949","watfordobserver.co.uk","Newsquest Media Group",2022-11-07
"1950","Watton and Swaffham Times","Newsquest Media Group",2022-11-07
"1951","wattonandswaffhamtimes.co.uk","Newsquest Media Group",2022-11-07
"1952","We Are Barnsley","Barnsley Chronicle Limited",2022-11-07
"1953","We Love Craft","Immediate Media Company Limited",2022-11-07
"1954","wearelit.co.uk","lit",2022-11-07
"1955","Web Designer","Future PLC",2022-11-07
"1956","Wellington Weekly News","Tindle Newspapers Limited",2022-11-07
"1957","wellington-today.co.uk","Tindle Newspapers Limited",2022-11-07
"1958","Wells Journal","Reach PLC",2022-11-07
"1959","wells.nub.news","Nub News Ltd",2022-11-07
"1960","Welwyn & Hatfield Times","Newsquest Media Group",2022-11-07
"1961","West Briton","Reach PLC",2022-11-07
"1962","West Essex Life","Newsquest Media Group",2022-11-07
"1963","West Lothian Courier","Reach PLC",2022-11-07
"1964","West Somerset Free Press","Tindle Newspapers Limited",2022-11-07
"1965","West Sussex County Times Series","National World Publishing Ltd",2022-11-07
"1966","West Sussex Gazette","National World Publishing Ltd",2022-11-07
"1967","westbridgfordwire.com","West Bridgford Wire",2022-11-07
"1968","Western Daily Press","Reach PLC",2022-11-07
"1969","Western Gazette","Reach PLC",2022-11-07
"1970","Western Gazette","Reach PLC",2022-11-07
"1971","Western Gazette","Reach PLC",2022-11-07
"1972","Western Gazette","Reach PLC",2022-11-07
"1973","Western Gazette","Reach PLC",2022-11-07
"1974","Western Mail","Reach PLC",2022-11-07
"1975","Western Morning News","Reach PLC",2022-11-07
"1976","Western Telegraph","Newsquest Media Group",2022-11-07
"1977","westerntelegraph.co.uk","Newsquest Media Group",2022-11-07
"1978","Weston Mercury","Newsquest Media Group",2022-11-07
"1979","westsussextoday.co.uk","National World Publishing Ltd",2022-11-07
"1980","Wetherby News","National World Publishing Ltd",2022-11-07
"1981","wetherbynews.co.uk","National World Publishing Ltd",2022-11-07
"1982","Wharfe Valley Times","National World Publishing Ltd",2022-11-07
"1983","Wharfedale Observer","Newsquest Media Group",2022-11-07
"1984","wharfedaleobserver.co.uk","Newsquest Media Group",2022-11-07
"1985","What Bike?","H. Bauer Publishing",2022-11-07
"1986","What Car","Haymarket Media Group",2022-11-07
"1987","What Franchise","DC Thomson Group",2022-11-07
"1988","What Hi-Fi?","Future PLC",2022-11-07
"1989","whatcar.com","Haymarket Media Group",2022-11-07
"1990","whathifi.com","Future PLC",2022-11-07
"1991","What's on TV","Future PLC",2022-11-07
"1992","whatsontv.co.uk","Future PLC",2022-11-07
"1993","whattowatch.com","Future PLC",2022-11-07
"1994","Whiskey","Paragraph Publishing Ltd",2022-11-07
"1995","whiskeylive.com","Paragraph Publishing Ltd",2022-11-07
"1996","Whisky Live","Paragraph Publishing Ltd",2022-11-07
"1997","whiskymag.com","Paragraph Publishing Ltd",2022-11-07
"1998","Whitby Gazette","National World Publishing Ltd",2022-11-07
"1999","whitbygazette.co.uk","National World Publishing Ltd",2022-11-07
"2000","Whitchurch Herald","Newsquest Media Group",2022-11-07
"2001","whitchurchherald.co.uk","Newsquest Media Group",2022-11-07
"2002","whitehavennews.co.uk","Newsquest Media Group",2022-11-07
"2003","Who Do You Think You Are?","Immediate Media Company Limited",2022-11-07
"2004","whtimes.co.uk","Newsquest Media Group",2022-11-07
"2005","WI Life","WI Enterprises Ltd",2022-11-07
"2006","Widnes Weekly News","Reach PLC",2022-11-07
"2007","Wigan Observer","National World Publishing Ltd",2022-11-07
"2008","Wigan Post","National World Publishing Ltd",2022-11-07
"2009","wigantoday.net","National World Publishing Ltd",2022-11-07
"2010","Wilmslow Guardian","Newsquest Media Group",2022-11-07
"2011","Wilts & Gloucestershire Standard","Newsquest Media Group",2022-11-07
"2012","wiltsglosstandard.co.uk","Newsquest Media Group",2022-11-07
"2013","Wiltshire Living","Newsquest Media Group",2022-11-07
"2014","Wiltshire Times","Newsquest Media Group",2022-11-07
"2015","wiltshirelive.co.uk","Reach PLC",2022-11-07
"2016","wiltshiretimes.co.uk","Newsquest Media Group",2022-11-07
"2017","Wimbledon Times","Newsquest Media Group",2022-11-07
"2018","wimbledonguardian.co.uk","Newsquest Media Group",2022-11-07
"2019","Windpower Monthly","Haymarket Media Group",2022-11-07
"2020","windpowermonthly.com","Haymarket Media Group",2022-11-07
"2021","windsorobserver.co.uk","Newsquest Media Group",2022-11-07
"2022","Winsford & Middlewich Guardian","Newsquest Media Group",2022-11-07
"2023","winsfordguardian.co.uk","Newsquest Media Group",2022-11-07
"2024","Wired","Condé Nast Publications Ltd",2022-11-07
"2025","Wirral Globe","Newsquest Media Group",2022-11-07
"2026","wirralglobe.co.uk","Newsquest Media Group",2022-11-07
"2027","Wisbech Standard","Newsquest Media Group",2022-11-07
"2028","wisbechstandard24.co.uk","Newsquest Media Group",2022-11-07
"2029","Wishaw Press","Reach PLC",2022-11-07
"2030","Witney Gazette","Newsquest Media Group",2022-11-07
"2031","witneygazette.co.uk","Newsquest Media Group",2022-11-07
"2032","Woking News & Mail","Tindle Newspapers Limited",2022-11-07
"2033","Wokingham.Today","The Wokingham Paper Ltd",2022-11-07
"2034","wokingham.today","The Wokingham Paper Ltd",2022-11-07
"2035","wokingnewsandmail.co.uk","Tindle Newspapers Limited",2022-11-07
"2036","Wolverhampton Chronicle Week","MNA",2022-11-07
"2037","Woman & Home","Future PLC",2022-11-07
"2038","Woman & Home Feel Good Food","Future PLC",2022-11-07
"2039","Woman & Home Feel Good You","Future PLC",2022-11-07
"2040","Woman","Future PLC",2022-11-07
"2041","Woman Special","Future PLC",2022-11-07
"2042","womanandhome.com","Future PLC",2022-11-07
"2043","womanmagazine.co.uk","Future PLC",2022-11-07
"2044","Woman's Own","Future PLC",2022-11-07
"2045","Woman's Own Special","Future PLC",2022-11-07
"2046","Woman's Weekly","Future PLC",2022-11-07
"2047","Woman's Weekly Fiction","Future PLC",2022-11-07
"2048","Woman's Weekly Living","Future PLC",2022-11-07
"2049","womansownmagazine.co.uk","Future PLC",2022-11-07
"2050","womansweekly.com","Future PLC",2022-11-07
"2051","Women's Health","Hearst UK Limited",2022-11-07
"2052","womenshealthmag.com/uk","Hearst UK",2022-11-07
"2053","Worcester News","Newsquest Media Group",2022-11-07
"2054","worcesternews.co.uk","Newsquest Media Group",2022-11-07
"2055","Work Magazine","Haymarket Media Group",2022-11-07
"2056","Worksop Guardian","National World Publishing Ltd",2022-11-07
"2057","worksopguardian.co.uk","National World Publishing Ltd",2022-11-07
"2058","World Architecture News","Haymarket Media Group",2022-11-07
"2059","World Interiors News","Haymarket Media Group",2022-11-07
"2060","World of Cross Stitch","Immediate Media Company Limited",2022-11-07
"2061","worlddrinksawards.com","Paragraph Publishing Ltd",2022-11-07
"2062","World's Best Beers","Paragraph Publishing Ltd",2022-11-07
"2063","World's Best Spirits","Paragraph Publishing Ltd",2022-11-07
"2064","worldspiritconference.com","Paragraph Publishing Ltd",2022-11-07
"2065","Worthing Herald","National World Publishing Ltd",2022-11-07
"2066","wscountytimes.co.uk","National World Publishing Ltd",2022-11-07
"2067","wsfp.co.uk","Tindle Newspapers Limited",2022-11-07
"2068","WWF: Action","Immediate Media Company Limited",2022-11-07
"2069","WWF: Adoptions","Immediate Media Company Limited",2022-11-07
"2070","WWF: Go Wild","Immediate Media Company Limited",2022-11-07
"2071","WWF: Impact","Immediate Media Company Limited",2022-11-07
"2072","www.lifeandwork.org.uk","Church of Scotland",2022-11-07
"2073","Wymondham and Attleborough Mercury","Newsquest Media Group",2022-11-07
"2074","wymondhamandattleboroughmercury.co.uk","Newsquest Media Group",2022-11-07
"2075","Yachting Monthly","Future PLC",2022-11-07
"2076","Yachting World","Future PLC",2022-11-07
"2077","yachtingmonthly.com","Future PLC",2022-11-07
"2078","yachtingworld.com","Future PLC",2022-11-07
"2079","ybw.com","Future PLC",2022-11-07
"2080","yeovilexpress.co.uk","Newsquest Media Group",2022-11-07
"2081","yorkpress.co.uk","Newsquest Media Group",2022-11-07
"2082","Yorkshire Evening Post","National World Publishing Ltd",2022-11-07
"2083","Yorkshire Life","Newsquest Media Group",2022-11-07
"2084","Yorkshire Living","Newsquest Media Group",2022-11-07
"2085","Yorkshire Living","Newsquest Media Group",2022-11-07
"2086","yorkshireeveningpost.co.uk","National World Publishing Ltd",2022-11-07
"2087","yorkshirepost.co.uk","National World Publishing Ltd",2022-11-07
"2088","You","Associated Newspapers Limited",2022-11-07
"2089","Your Easy Veg Garden","DC Thomson Group",2022-11-07
"2090","Your Home","Immediate Media Company Limited",2022-11-07
"2091","yourlocalguardian.co.uk","Newsquest Media Group",2022-11-07
"2092","Yours","H. Bauer Publishing",2022-11-07
"2093","Yours Retro","H. Bauer Publishing",2022-11-07
"2094","yours.co.uk","H. Bauer Publishing",2022-11-07
